あい歯科クリニック,アイシカクリニック
赤塚クリニック,アカツカクリニック
あさの歯科医院,アサノシカイイン
飛鳥メディカルクリニック,アスカメディカルクリニック
アスト津デンタルオフィス,アストツデンタルオフィス
安濃中央クリニック,アノウチュウオウクリニック
あのつクリニック,アノツクリニック
天野医院,アマノイイン
あめさら耳鼻咽喉科,アメサラジビインコウカ
荒木医院（安濃）,アラキイイン（アノウ）
あらき内科クリニック（半田）,アラキナイカクリニック（ハンダ）
いいさか歯科口腔外科,イイサカシカコウクウゲカ
伊勢谷医院,イセタニイイン
いたみ眼科,イタミガンカ
イタミ内科・整形外科,イタミナイカセイケイゲカ
一志病院,イチシビョウイン
いとう眼科,イトウガンカ
いとう歯科,イトウシカ
いとうデンタルクリニック,イトウデンタルクリニック
いとう内科胃腸科,イトウナイカイチョウカ
伊藤メンタルクリニック,イトウメンタルクリニック
稲葉歯科医院,イナバシカイイン
稲森歯科医院,イナモリシカイイン
いのうえ心身クリニック,イノウエシンシンクリニック
井上内科病院,イノウエナイカビョイン
いのまた歯科,イノマタシカ
岩崎歯科医院,イワサキシカイイン
岩崎病院,イワサキビョイン
岩名歯科クリニック,イワナシカクリニック
上村医院,ウエムライイン
植村整形外科,ウエムラセイケイゲカ
内原歯科,ウチハラシカ
うめだ皮膚科クリニック,ウメダヒフカクリニック
海野整形外科,ウンノセイケイゲカ
おおうち内科,オオウチナイカ
おおかわ歯科クリニック,オオカワシカクリニック
大川耳鼻咽喉科,オオカワジビインコウカ
大北内科,オオキタナイカ
おおさわ歯科矯正歯科医院,オオサワシカキョウセイシカイイン
大杉歯科医院,オオスギシカイイン
太田歯科医院,オオタシカイイン
大西歯科医院,オオニシシカイイン
大西内科ハートクリニック,オオニシナイカハートクリニック
大橋クリニック,オオハシクリニック
大橋歯科医院,オオハシシカイイン
おかむら歯科,オカムラシカ
おがわ脳神経外科クリニック,オガワノウシンケイゲカクリニック
奥田医院,オクダイイン
おくだ内科クリニック,オクダナイカクリニック
おくのクリニック,オクノクリニック
おむら歯科医院,オムラシカイイン
海岸歯科クリニック,カイガンシカクリニック
カガミ歯科診療所,カガミシカシンリョウショ
笠原歯科,カサハラシカ
勝田歯科医院,カツタシカイイン
加藤医院,カトウイイン
加藤歯科,カトウシカ
かとうデンタルクリニック,カトウデンタルクリニック
かどやま歯科医院,カドヤマシカイイン
金丸産婦人科,カナマルサンフジンカ
金森皮フ科,カナモリヒフカ
金子医院,カネコイイン
かまたに歯科,カマタニシカ
神山歯科診療所,カミヤマシカシンリョウショ
亀井歯科,カメイシカ
かわいクリニック,カワイクリニック
川口耳鼻咽喉科,カワグチジビインコウカ
川口歯科,カワグリシカ
川浪内科,カワナミナイカ
河村クリニック,カワムラクリニック
川村歯科クリニック,カワムラシカクリニック
川森歯科クリニック,カワモリシカクリニック
カワラダ歯科・口腔外科,カワラダシカコウクウゲカ
かんだ歯科,カンダシカ
岸畑歯科,キシハタシカ
北川歯科医院,キタガワシカイイン
北出皮フ科,キタデヒフカ
きない心のクリニック,キナイココロノクリニック
紀平歯科,キヒラシカ
草川医院,クサガワイイン
倉本内科病院,クラモトナイカビョウイン
クリーン歯科クリニック,クリーンシカクリニック
黒川医院,クロカワイイン
桑名歯科,クワナシカ
こいえ歯科口腔外科,コイエシカコウクウゲカ
こう歯科,コウシカ
上津デンタルクリニック,コウズデンタルクリニック
ここあ歯科,ココアシカ
こころの医療センター,ココロノイリョウセンター
小西ヒフ科医院,コニシヒフカイイン
こはな歯科,コハナシカ
小林眼科クリニック,コバヤシガンカクリニック
小林歯科医院,コバヤシシカ
呼春の森診療所,コハルノモリシンリョウショ
こやま内科消化器科,コヤマナイカショウカキカ
駒田医院,コマダイイン
駒田歯科医院,コマダシカイイン
今野眼科,コンノガンカ
さいとう歯科矯正歯科,サイトウシカキョウセイシカ
さいとう内科,サイトウナイカ
斉藤メンタルクリニック,サイトウメンタルクリニック
榊原温泉病院,サカキバラオンセンビョウイン
楠原歯科医院,サカキバラシカ
榊原白鳳病院,サカキバラハクホウビョウイン
榊原病院,サカキバラビョウイン
坂口医院,サカグチイイン
坂倉眼科クリニック,サカクラガンカクリニック
坂倉内科,サカクラナイカ
坂の上クリニック,サカノウエクリニック
佐南歯科医院,サナンシカイイン
さの整形外科クリニック,サノセイケイゲカクリニック
澤田眼科,サワダガンカ
塩川病院,シオカワビョウイン
しのぎ耳鼻咽喉科クリニック,シノギジビインコウカクリニック
渋見やまもと歯科,シブミヤマモトシカ
白塚いけだクリニック,シラツカイケダクリニック
新町整形外科診療所,シンマチセイケイゲカシンリョウショ
鈴鹿中央総合病院,スズカチュウオウソウゴウビョイン
すずき歯科,スズキシカ
スバル歯科医院,スバルシカイイン
世古口消化器内科なぎさまち診療所,セコグチショウカキナイカナギサマチシンリョウショ
セントローズクリニック,セントローズクリニック
曽野医院,ソノイイン
第二岩崎病院,ダイニイワサキビョイウン
大門病院,ダイモンビョウイン
タカオカクリニック,タカオカクリニック
たかしクリニック,タカシクリニック
高田診療所,タカダシンリョウショ
高茶屋クリニック,タカチャヤクリニック
高茶屋診療所,タカチャヤシンリョウショ
高野尾クリニック,タカノオクリニック
たかはし耳鼻咽喉科,タカハシジビインコウカ
たかはし内科,タカハシナイカ
たかはし皮フ科,タカハシヒフカ
高山歯科医院,タカヤマシカイイン
武内病院,タケウチビョウイン
竹内眼科,タケナカガンカ
たじま泌尿器科皮フ科,タジマヒニョウキカヒフカ
田中歯科,タナカシカ
たなか歯科医院（一身田診療所,タナカシカ
たなか歯科医院（南が丘診療所,タナカシカ
たなか内科,タナカナイカ
タナハシ医院,タナハシイイン
谷口耳鼻咽喉科,タニグチジビインコウカ
たにクリニック,タニクリニック
千里クリニック,チサトクリニック
津駅西口神経クリニック,ツエキニシグチシンケイクリニック
つおき高橋クリニック,ツオキタカハシクリニック
津かじわらクリニック,ツカジワラクリニック
津眼科,ツガンカ
瀧川歯科医院,ツキガワシカイイン
津北整形外科,ツキタセイケイゲカ
津在宅ケア診療所,ツザイタクケアシンリョウショ
津さくらばしクリニック,ツサクラバシクリニック
つじい整形外科手の外科クリニック,ツジイセイケイゲカゲノセイケイゲカ
辻内科,ツジナイカ
辻野歯科医院,ツジノシカイイン
津城山さいとうクリニック,ツシロヤマサイトウクリニック
津腎クリニック,ツジンクリニック
津生協病院,ツセイキョウビョウイン
津田クリニック,ツダクリニック
つだメンタルクリニック,ツダメンタルクリニック
つつじメンタルクリニック,ツツジメンタルクリニック
津西眼科,ツニシガンカ
津西産婦人科,ツニシサンフジンカ
津泌尿器科皮膚科診療所,ツヒニョウキカヒフカ
津ファミリア歯科,ツファミリアシカ
津ファミリークリニック,ツファミリークリニック
坪井歯科医院,ツボイシカ
津みなみクリニック,ツミナミクリニック
津メンタルクリニック,ツメンタルクリニック
でぐち歯科,デグチシカ
寺田医院,テラダイイン
寺田歯科香良洲診療所,テラダシカカラスシンリョウショ
寺西胃腸科内科クリニック,テラニシイチョウカナイカクリニック
寺辺歯科医院,テラベシカイイイン
東海眼科,トウカイガンカ
とうかい整形外科,トウカイセイケイゲカ
遠山病院,トウヤマビョウイン
とく歯科,トクシカ
刀根クリニック,トネクリニック
とみかわデンタルオフィス,トミカワデンタルオフィス
とも歯科クリニック,トモシカクリニック
豊里クリニック,トヨサトクリニック
豊里歯科,トヨサトシカ
永井病院,ナガイビョウイン
中川歯科医院,ナカガワシカイイン
ながくら整形外科,ナガクルセイケイゲカ
中嶋歯科医院,ナカジマシカイイン
中島歯科診療所,ナカジマシカシンリョウショ
なかせ歯科,ナカセシカ
なかせ内科胃腸科,ナカセナイカイチョウカ
ながたレディースクリニック,ナガタレディースクリニック
ナカニシ歯科医院,ナカニシシカイイン
中西敏也歯科,ナカニシトシヤシカ
ナカノ歯科クリニック,ナカノシカクリニック
中野耳鼻咽喉科,ナカノジビインコウカ
ナカハマデンタル,ナカハマデンタル
中村整形外科皮フ科,ナカムラセイケイゲカヒフカ
中村歯科（江戸橋）,ナカムラシカ（エドバシ）
中村歯科クリニック（西丸之内）,ナカムラシカクリニック（ニシマルノウチ）
中本耳鼻咽喉科,ナカモトジビインコウカ
中森内科,ナカモリナイカ
七栗記念病院,ナナクリキネンビョウイン
鳴神歯科医院,ナルガミシカイイン
にしい歯科医院,ニシイシカイイン
西尾歯科,ニシオシカ
にし整形外科,ニシセイケイゲカ
西本歯科医院,ニシモトシカイイン
西山産婦人科,ニシヤマサンフジンカ
のだ歯科クリニック,ノダシカクリニック
ハーモニー津心身クリニック,ハーモニーツシンシンクリニック
服部眼科,ハットリガンカ
花井歯科クリニック,ハナイシカクリニック
英クリニック,ハナブサクリニック
はやし歯科医院,ハヤシシカイイン
はやし歯科医院（高茶屋診療所）,ハヤシシカイイン（タカチャヤ）
林耳鼻いんこう科クリニック,ハヤシジビインコウカ
ひおきクリニック,ヒオキクリニック
樋口歯科医院,ヒグチシカイイン
ひぐち整形外科クリニック,ヒグチセイケイゲカクリニック
ひさいインター歯科,ヒサイインターシカ
久居病院,ヒサイビョウイン
ひさい脳神経外科クリニック,ヒサイノウシンケイゲカクリニック
日高クリニック,ヒダカクリニック
平澤歯科医院,ヒラサワシカイイン
フェニックス健診クリニック,フェニックスケンシンクリニック
ふかだ歯科医院,フカダシカイイン
福喜多眼科,フクキタガンカ
ふくもり歯科,フクモリシカ
ふじおかクリニック,フジオカクリニック
藤田産婦人科,フジタサンフジンカ
ふじた耳鼻咽喉科,フジタジビインコウカ
藤田内科,フジタナイカ
二神クリニック,フタガミクリニック
ベタニヤ内科,ベタニアナイカ
べっしょ歯科クリニック,ベッショシカクリニック
別所ヒフ科,ベッショヒフカ
細川歯科,ホソカワシカ
前沢整形外科,マエザワセイケイ
前田歯科医院,マエダシカイイン
前田歯科クリニック,マエダシカクリニック
まきのクリニック,マキノクリニック
正木歯科,マサキシカ
増井歯科,マスイシカ
増井内科,マスイナイカ
まつおか整形外科,マツオカセイケイゲカ
松阪厚生病院,マツサカコウセイビョウイン
松阪中央総合病院,マツサカチュウオウソウゴウビョウイン
まつしまクリニック,マツシマクリニック
まつなが眼科,マツナガガンカ
まつばら整形外科クリニック,マツバラセイケイゲカクリニック
真弓歯科クリニック,マユミシカクリニック
丸岡医院,マルオカイイン
まんよし歯科,マンヨシシカ
三重耳鼻咽喉科,ミエジビインコウカ
みえ消化器内科,ミエショウカキナイカ
三重大学医学部附属病院,ミエダイガクイガクフゾクビョウイン
三重中央医療センター,ミエチュウオウイリョウセンター
三重つくし診療所,ミエツクシシンリョウショ
三重ハートセンター,ミエハートセンター
みえひふ科クリニック,ミエヒフカクリニック
三重病院,ミエビョウイン
三重レディースクリニック,ミエレディースクリニック
三木眼科,ミキガンカ
水谷皮フ科クリニック,ミズタニヒフカクリニック
三井整形外科,ミツイセイケイゲカ
みどりクリニック,ミドリクリニック
みなみがおか歯科・矯正歯科,ミナミガオカシカキョウセイシカ
美濃歯科医院,ミノウシカイイン
みのうら歯科医院,ミノウラシカイイン
宮﨑歯科医院,ミヤザキシカイイン
宮﨑デンタルオフィス,ミヤザキデンタルオフィス
椋本歯科医院,ムクモトシカイイン
武藤歯科医院,ムトウシカイイン
むらい耳鼻咽喉科,ムライジビインコウカ
むらしま整形外科,ムラシマセイケイゲカ
むらた歯科クリニック,ムラタシカクリニック
むらた内科クリニック,ムラタナイカクリニック
もみの木整形外科,モミノキセイケイゲカ
もりかわ歯科,モリカワシカ
森眼科,モリガンカ
森歯科クリニック,モリシカクリニック
森心身医学クリニック,モリシンシンイガククリニック
森田内科クリニック,モリタナイカクリニック
もりもと歯科医院,モリモトシカイイン
ヤナセクリニック,ヤナセクリニック
やまかみクリニック,ヤマカミクリニック
やまかみ内科クリニック,ヤマカミナイカクリニック
やまぐちクリニック,ヤマグチクリニック
山口歯科,ヤマグチシカ
山崎循環器内科,ヤマザキジュンカンキナイカ
山の手内科クリニック,ヤマノテナイカクリニック
やまもと歯科,ヤマモトシカ
山本歯科医院,ヤマモトシカイイン
やまもと総合診療クリニック,ヤマモトソウゴウシンリョウクリニック
山本皮フ科,ヤマモトヒフカ
ゆう心のクリニック,ユウココロノクリニック
ゆたクリニック,ユタクリニック
ゆり形成内科整形,ユリケイセイナイカセイケイ
吉田クリニック,ヨシダクリニック
吉田歯科医院,ヨシダシカイイン
よしだ眼科,ヨシダナイカ
吉中歯科,ヨシナカシカ
理研産業補聴器センター,リケンサンギョウホチョウキセンター
若葉病院,ワカバビョウイン
渡部クリニック,ワタベクリニック
【病院　鈴鹿亀山地区】,
三重膠原病リウマチ痛風クリニック,ミエコウゲンビョウリウマチツウフウクリニック
【病院　松阪地区】,
うれしの医院,ウレシノイイン
北大路眼科,キタオオジガンカ
くしもと整形外科,クシモトセイケイゲカ
のぞみ歯科,ノゾミシカ
むとうクリニック,ムトウクリニック
【その他　保険外】,
泉園,イズミエン
一志カラオケ,イチシカラオケ
うなぎの三谷高茶屋店,ウナギノミタニタカチャヤテン
F1マート,エフワンマート
乙部郵便局,オトベユウビンキョク
ぎゅーとら持川店,ギュートラモチカワテン
ココカラファイン垂水店,ココカラファインタルミテン
さかえ接骨院,サカエセッコツイン
サワイ美容,サワイビヨウ
三十三銀行最寄り支店,サンジュウサンギンコウモヨリシテン
しおりの里,シオリノサト
自宅,ジタク
城山郵便局,シロヤマユウビンキョク
専修寺,センジュジ
ソフトバンク最寄りショップ,ソフトバンクモヨリショップ
高田デイサービス慈光院,タカダデイサービスジコウイン
垂水老人福祉センター,タルミロウジンフクシセンター
津駅西口,ツエキニシグチ
津駅東口,ツエキヒガシグチ
津市役所,ツシヤクショ
津市役所久居出張所,ツシヤクショヒサイシュッチョウショ
津信用金庫橋南支店,ツシンヨウキンコキョウナンテン
津税務署,ツゼイムショ
津年金事務所,ツネンキンジムショ
東海労金,トウカイロウキン
特養老人ホーム高田光寿園,トクヨウロウジンホームタカダコウジュエン
ハーモニーハウス津・大園,ハーモニーハウスツ・オオゾノ
はな房,ハナフサ
はま寿司,ハマズシ
久居支所,ヒサイシショ
陽だまりの丘,ヒダマリノオカ
百五銀行　津駅西口支店,ヒャクゴギンコウツエキニシグチシテン
百五銀行最寄り支店,ヒャクゴギンコウモヨリシテン
美容院　城山イオン,ビヨウシツシロヤマイオン
美容院　デコ,ビヨウシツデコ
美容院　ドリーム,ビヨウシツドリーム
美容院　リンス,ビヨウシツリンス
プラージュ津新町店,プラージュツシンマチテン
ふれあい会館,フレアイカイカン
ほっと久居店,ホットヒサイテン
マックスバリュ,マックスバリュ
マックスバリュ垂水店,マックスバリュタルミテン
みえ愛の里,ミエアイノサト
三重画廊,ミエガロウ
三重中央自動車学校,ミエチュウオウジドウシャガッコウ
MieMu三重県総合博物館,ミエムミエケンソウゴウハクブツカン
八幡園,ヤハタエン
ヤマナカ,ヤマナカ
UFJ 津支店,ユーエスジェイツシテン
郵便局最寄り支店,ユウビンキョクモヨリシテン
理容カットエー津南店,リヨウカットエーツミナミテン
麗人美容室,レイニンビヨウシツ
老人保健施設アルカディア,ロウジンホケンシセツアルカディア
鳴神歯科,ナルカミシカ
メガネのマスダ,メガネノマスダ
老人保険施設アルカディア,ロウジンホケンシセツアルカディア
島崎町フレッシュマートベーシック,シマザキチョウフレッシュマートベーシック
東海眼科↔︎たなか内科,トウカイガンカタナカナイカ
百五銀行　本店,ヒャクゴギンコウホンテン
マックスバリュ港町店,マックスバリュミナトマチシテン
吉野家乙部店,ヨシノヤオトベテン
三重大学附属病院↔︎赤塚クリニック,ミエダイガクフゾクビョウインカラアカツカクリニツマク
香良洲町役場,カラスチョウヤクバ
自宅からエミタス,ジタクカラエミタス
エミタス,エミタス
介護老人保健施設あのう,カイゴロウジンホケンシセツアノウ
すずき歯科↔︎久居アルスプラザ,スズキシカカラヒサイアルスプラザ
久居アルスプラザ,ヒサイアルスプラザ
中浜胃腸科外科,ナカハマイチョウカゲカ
ウエルシア津久居中町店,ウエルシアツヒサイナカマチ
ポルタ久居,ポルタヒサイ
せと整形外科,セトセイケイゲカ
いこか内科,イコカナイカ
櫛形郵便局,クシガタユウビンキョク
松田鍼灸整骨院,マツダシンキュウセイコツイン
安濃総合支所（安濃総合庁舎）,アノウソウゴウシショ
ザ・ビッグ芸濃店,ザビッグゲイノウテン
武内病院↔︎久居支所,タケウチビョウインカラヒサイシショ
済生会松阪総合病院↔武内病院,サイセイカイマツサカソウゴウビョウインカラタケウチビョウイン
済生会松阪総合病院,サイセイカイマツサカソウゴウビョウイン
鈴鹿回生病院,スズカカイセイビョウイン
前川内科,メエガワナイカ
松阪市民病院,マツサカシミンビョウイン
村瀬病院,ムラセビョウイン
リージョンプラザ,リージョンプラザ
榊原病院からこまつの里,サカキバラビョウインカラコマツノサト
管理者テスト・行き先,カンリシャ・テスト
松菱百貨店,マツビシヒャッカテン
三重県教育文化会館,ミエケンキョウイクブンカカイカン
こころの医療センター↔JA津安芸津中央支店,ココロノイリョウセンターカラジェイエーツアゲイツチュウオウシテン
つみなみシルバーケア豊壽園,ツミナミシルバーケアホウジュエン
まつなが眼科↔川口耳鼻咽喉科,マツナガガンカカワグチジビインコウカ
こまつの里・こまつの作業所,コマツノサトコマツノサギョウショ
